name,cores,cpu_mark,thread_mark,TDP,Socket,Category
Intel Xeon E3-1545M v5,4,7820,2118,45,FCBGA1440,Laptop Server
Intel Xeon W-10855M,6,12589,2760,45,FCBGA1440,Laptop Server
Intel Xeon W-10885M,8,15784,2777,45,FCBGA1440,Laptop Server
Intel Xeon W-11855M,6,18129,3252,45,FCBGA1787,Laptop Server
Intel Xeon W-11955M,8,22579,3294,45,FCBGA1787,Laptop Server
Microsoft SQ1,8,5856,1818,15,Unknown,Laptop
Microsoft SQ2,8,6477,1912,NA,Unknown,Laptop
Microsoft SQ3,8,11727,2367,NA,Unknown,Laptop
Mobile AMD Athlon 2500+,1,241,365,NA,Unknown,Laptop
Mobile AMD Athlon 4 2400+,1,233,358,NA,Unknown,Laptop
Mobile AMD Athlon 64 3200+,1,326,400,81.5,Unknown,Laptop
Mobile AMD Athlon 64 3400+,1,333,432,81.5,Unknown,Laptop
Mobile AMD Athlon 64 3700+,1,356,485,81.5,Unknown,Laptop
Mobile AMD Athlon 64 4000+,1,313,338,62,Unknown,Laptop
Mobile AMD Athlon MP-M 1800+,1,173,262,35,Unknown,Laptop
Mobile AMD Athlon MP-M 2400+,1,192,314,NA,Unknown,Laptop
Mobile AMD Athlon XP-M 1600+,1,169,274,NA,Unknown,Laptop
Mobile AMD Athlon XP-M 1800+,1,193,291,45,Socket A,Laptop
Mobile AMD Athlon XP-M 2000+,1,196,301,NA,Unknown,Laptop
Mobile AMD Athlon XP-M 2200+,1,237,363,NA,Unknown,Laptop
Mobile AMD Athlon XP-M 2400+,1,225,355,NA,Unknown,Laptop
Mobile AMD Athlon XP-M 2500+,1,226,355,NA,Unknown,Laptop
Mobile AMD Athlon XP-M 2600+,1,241,375,NA,Unknown,Laptop
Mobile AMD Athlon XP-M 2800+,1,238,385,NA,Unknown,Laptop
Mobile AMD Athlon XP-M 3000+,1,238,365,NA,Unknown,Laptop
Mobile AMD Sempron 2100+,1,164,203,8,S1,Laptop Mobile/Embedded
Mobile AMD Sempron 2600+,1,256,316,NA,Socket 754,Laptop
Mobile AMD Sempron 2800+,1,237,299,NA,Socket 754,Laptop
Mobile AMD Sempron 3000+,1,269,350,NA,Socket 754,Laptop
Mobile AMD Sempron 3100+,1,277,359,NA,Socket 754,Laptop
Mobile AMD Sempron 3200+,1,245,525,NA,S1,Laptop
Mobile AMD Sempron 3300+,1,294,391,NA,Socket 754,Laptop
Mobile AMD Sempron 3400+,1,269,489,25,Socket S1 (S1g1),Laptop
Mobile AMD Sempron 3500+,1,259,535,NA,S1,Laptop
Mobile AMD Sempron 3600+,1,284,618,25,S1,Laptop
Mobile AMD Sempron 3800+,1,335,735,NA,S1,Laptop
Mobile Intel Celeron,1,121,280,66.1,PPGA478,Laptop
Mobile Intel Celeron,1,183,248,NA,Unknown,Laptop
Mobile Intel Pentium 4 - M,1,139,317,NA,Unknown,Laptop
Mobile Intel Pentium 4,1,344,552,NA,Unknown,Laptop
Mobile Intel Pentium III - M,1,146,185,22,BGA2 microPGA2,Laptop
Mobile Intel Pentium III - M,1,130,177,20.1,BGA2 microPGA2,Laptop
Qualcomm Snapdragon X Elite - X1E-78-100,12,23295,3195,23,Unknown,Laptop
Qualcomm Snapdragon X Elite - X1E-80-100,12,23230,3292,NA,Unknown,Laptop
Qualcomm Snapdragon X Elite - X1E-84-100,12,24528,3979,NA,Unknown,Laptop
Qualcomm Snapdragon X Plus X1P-64-100,10,22322,3132,NA,Unknown,Laptop
Snapdragon 7c,8,3712,1519,NA,Unknown,Laptop Mobile/Embedded
Snapdragon 7c,8,3395,1225,9,Unknown,Laptop Mobile/Embedded
Snapdragon 7c Gen 2,8,3857,1480,7,Unknown,Laptop Mobile/Embedded
Snapdragon 835,8,2211,1035,9,Unknown,Laptop Mobile/Embedded
Snapdragon 850,8,3326,1424,5,Unknown,Laptop Mobile/Embedded
Snapdragon 8c,8,5230,1544,NA,Unknown,Laptop Mobile/Embedded
Snapdragon 8cx,8,5083,1717,NA,Unknown,Laptop Mobile/Embedded
Snapdragon 8cx Gen 2,8,6728,1737,NA,Unknown,Laptop Mobile/Embedded
Snapdragon 8cx Gen 2,8,6691,1955,7,Unknown,Laptop Mobile/Embedded
Snapdragon 8cx Gen 3,8,11774,2415,NA,Unknown,Laptop Mobile/Embedded
VIA C7-M,1,112,93,NA,Unknown,Laptop
VIA C7-M,1,116,124,15,BGA400,Laptop
VIA C7-M,1,145,121,NA,Unknown,Laptop
VIA Eden,1,80,83,5,NanoBGA2,Laptop
VIA Eden,1,93,97,7,NanoBGA2,Laptop
VIA Nano L2007,1,238,273,25,BGA400,Laptop
VIA Nano L2100,1,279,182,25,BGA400,Laptop
VIA Nano L2207,1,165,191,17,BGA400,Laptop
VIA Nano U2250,1,179,156,10,BGA400,Laptop
VIA Nano U2500,1,199,184,7,BGA400,Laptop
VIA Nano U3500,1,184,286,5,BGA400,Laptop
VIA Nano X2 U4025,2,400,298,NA,BGA400,Laptop
VIA QuadCore L4700,4,773,355,27.5,Unknown,Laptop
